Companies,Tickers,Amount of Shares,Average Price
American International Group,AIG,3.015,53.74
Alpine 4 Holdings,ALPP,300,8.32
Advanced Micro Devices,AMD,42,93.28
ARK Fintech,ARKF,84,56.84
ARK Genomics,ARKG,50.307,96.09
ARK K,ARKK,36.294,135.41
Lithium Americas Corp.,LAC,25,25.73
Lucid Motors,LCID,636,20.31
Marathon,MARA,50,26.65
Nio,NIO,43,50.94
Palantir,PLTR,21,27.91
Palantir,PLTR,91,29.96
Polestar,PSNY,300,14.5
Vanguard Total Index,VTI,53.05,208.86
Vanguard Total World,VXUS,17,55.16
